#Epoch	RMSE	MAE	MAPE(%)
1	0.8477	0.5637	5.81
2	0.6440	0.3636	3.66
3	0.4084	0.1581	1.51
4	0.4022	0.1769	1.73
5	0.4200	0.1852	1.81
6	0.3735	0.1549	1.50
7	0.4020	0.1793	1.75
8	0.3678	0.1503	1.45
9	0.3760	0.1583	1.54
10	0.3685	0.1574	1.54
11	0.3469	0.1394	1.35
12	0.3591	0.1492	1.45
13	0.3336	0.1318	1.28
14	0.3505	0.1442	1.40
15	0.3257	0.1295	1.26
16	0.3479	0.1428	1.39
17	0.3081	0.1183	1.15
18	0.3256	0.1296	1.26
19	0.2970	0.1158	1.13
20	0.3253	0.1295	1.26
21	0.3006	0.1164	1.14
22	0.3032	0.1176	1.15
23	0.3105	0.1205	1.17
24	0.2984	0.1140	1.11
25	0.2932	0.1138	1.11
26	0.2995	0.1177	1.15
27	0.2979	0.1153	1.13
28	0.2947	0.1161	1.14
29	0.2831	0.1123	1.11
30	0.3206	0.1282	1.25
31	0.2900	0.1102	1.07
32	0.3092	0.1224	1.19
33	0.3001	0.1167	1.14
34	0.2944	0.1153	1.13
35	0.2877	0.1123	1.10
36	0.2964	0.1159	1.13
37	0.2968	0.1150	1.12
38	0.2972	0.1155	1.13
39	0.2856	0.1116	1.09
40	0.3042	0.1193	1.16
41	0.2841	0.1108	1.09
42	0.2842	0.1120	1.10
43	0.3007	0.1186	1.16
44	0.2856	0.1123	1.10
45	0.3021	0.1204	1.18
46	0.2948	0.1167	1.14
47	0.3084	0.1238	1.21
48	0.2826	0.1107	1.08
49	0.3276	0.1366	1.33
50	0.2939	0.1146	1.12
51	0.3116	0.1261	1.23
52	0.2937	0.1165	1.14
53	0.2949	0.1178	1.15
54	0.2935	0.1168	1.14
55	0.3174	0.1302	1.27
56	0.2799	0.1105	1.08
57	0.3215	0.1337	1.31
58	0.2840	0.1131	1.11
59	0.3089	0.1255	1.23
60	0.2938	0.1172	1.15
61	0.3073	0.1243	1.21
62	0.2970	0.1195	1.17
63	0.2975	0.1187	1.16
64	0.2969	0.1194	1.17
65	0.3058	0.1232	1.20
66	0.2991	0.1191	1.16
67	0.3015	0.1222	1.20
68	0.2980	0.1198	1.17
69	0.2941	0.1187	1.16
70	0.3101	0.1263	1.23
71	0.3018	0.1208	1.18
72	0.3135	0.1292	1.26
73	0.2856	0.1155	1.13
74	0.3242	0.1360	1.33
75	0.2869	0.1137	1.11
76	0.3339	0.1413	1.38
77	0.3008	0.1200	1.17
78	0.3179	0.1314	1.28
79	0.2909	0.1167	1.14
80	0.3171	0.1305	1.27
81	0.2987	0.1207	1.18
82	0.3045	0.1241	1.21
83	0.3014	0.1227	1.20
84	0.3074	0.1258	1.23
85	0.3114	0.1266	1.23
86	0.3062	0.1247	1.22
87	0.3171	0.1301	1.27
88	0.3166	0.1312	1.28
89	0.3063	0.1241	1.21
90	0.3174	0.1318	1.29
91	0.2950	0.1187	1.16
92	0.3274	0.1381	1.35
93	0.3073	0.1248	1.22
94	0.3229	0.1329	1.29
95	0.2890	0.1159	1.13
96	0.3244	0.1364	1.33
97	0.3084	0.1259	1.23
98	0.3274	0.1379	1.35
99	0.3014	0.1251	1.23
100	0.3226	0.1358	1.33
101	0.3156	0.1312	1.28
102	0.3220	0.1345	1.31
103	0.3131	0.1292	1.26
104	0.3135	0.1293	1.26
105	0.3075	0.1258	1.23
106	0.3096	0.1267	1.24
107	0.3055	0.1241	1.21
108	0.3109	0.1280	1.25
109	0.3309	0.1375	1.34
110	0.3157	0.1295	1.26
111	0.3152	0.1289	1.26
112	0.3052	0.1243	1.21
113	0.3154	0.1293	1.26
114	0.3129	0.1281	1.25
115	0.3411	0.1470	1.44
116	0.3004	0.1229	1.20
117	0.3147	0.1328	1.30
118	0.3110	0.1332	1.31
119	0.3383	0.1465	1.44
120	0.3191	0.1331	1.30
121	0.3278	0.1381	1.35
122	0.3089	0.1253	1.22
123	0.3175	0.1316	1.28
124	0.3172	0.1315	1.28
125	0.3171	0.1313	1.28
126	0.3105	0.1271	1.24
127	0.3207	0.1346	1.32
128	0.3192	0.1342	1.31
129	0.3312	0.1426	1.40
130	0.3346	0.1425	1.39
131	0.3038	0.1280	1.26
132	0.3341	0.1426	1.40
133	0.3050	0.1262	1.24
134	0.3321	0.1406	1.38
135	0.3241	0.1369	1.34
136	0.3295	0.1376	1.34
137	0.3159	0.1292	1.26
138	0.3286	0.1376	1.34
139	0.3187	0.1305	1.27
140	0.3336	0.1404	1.37
141	0.3385	0.1452	1.42
142	0.3305	0.1405	1.37
143	0.3150	0.1311	1.28
144	0.3284	0.1382	1.35
145	0.3276	0.1383	1.35
146	0.3323	0.1412	1.38
147	0.3218	0.1340	1.31
148	0.3319	0.1398	1.36
149	0.3109	0.1277	1.25
150	0.3225	0.1334	1.30
151	0.3411	0.1449	1.41
152	0.3448	0.1467	1.43
153	0.3194	0.1330	1.30
154	0.3154	0.1320	1.29
155	0.3439	0.1481	1.45
156	0.3338	0.1427	1.40
157	0.3393	0.1466	1.44
158	0.3397	0.1460	1.43
159	0.3343	0.1427	1.40
160	0.3386	0.1437	1.40
161	0.3263	0.1348	1.31
162	0.3458	0.1474	1.44
163	0.3311	0.1382	1.35
164	0.3387	0.1433	1.40
165	0.3416	0.1455	1.42
166	0.3368	0.1430	1.40
167	0.3450	0.1482	1.45
168	0.3631	0.1584	1.55
169	0.3555	0.1543	1.51
170	0.3502	0.1531	1.50
171	0.3497	0.1523	1.49
172	0.3640	0.1599	1.57
173	0.3843	0.1729	1.70
174	0.3601	0.1577	1.55
175	0.3952	0.1808	1.78
176	0.3754	0.1653	1.62
177	0.4034	0.1886	1.86
178	0.4105	0.1954	1.93
179	0.4318	0.2149	2.14
180	0.4346	0.2150	2.14
181	0.4317	0.2133	2.12
182	0.4607	0.2414	2.41
183	0.4973	0.2751	2.77
184	0.4958	0.2743	2.77
185	0.5300	0.3107	3.15
186	0.5055	0.2868	2.90
187	0.5557	0.3311	3.37
188	0.5247	0.2983	3.02
189	0.5750	0.3427	3.49
190	0.5223	0.2937	2.96
191	0.5292	0.2989	3.02
192	0.5167	0.2881	2.90
193	0.5249	0.2943	2.97
194	0.5217	0.2903	2.92
195	0.5250	0.2944	2.97
196	0.5111	0.2819	2.84
197	0.5279	0.2954	2.98
198	0.5277	0.2964	2.99
199	0.5147	0.2835	2.85
200	0.5263	0.2924	2.94
