#Epoch	RMSE	MAE	MAPE(%)
1	3.0654	3.0580	31.27
2	0.7712	0.7674	7.85
3	0.1575	0.1345	1.37
4	0.2986	0.2944	3.01
5	0.2932	0.2915	2.98
6	0.1929	0.1922	1.97
7	0.1125	0.1110	1.13
8	0.0590	0.0557	0.57
9	0.0199	0.0119	0.12
10	0.0246	0.0222	0.23
11	0.0416	0.0398	0.41
12	0.0548	0.0538	0.55
13	0.0646	0.0640	0.65
14	0.0710	0.0706	0.72
15	0.0757	0.0752	0.77
16	0.0792	0.0788	0.81
17	0.0820	0.0816	0.83
18	0.0841	0.0837	0.86
19	0.0857	0.0853	0.87
20	0.0868	0.0864	0.88
21	0.0873	0.0869	0.89
22	0.0873	0.0869	0.89
23	0.0869	0.0865	0.88
24	0.0861	0.0857	0.88
25	0.0850	0.0845	0.86
26	0.0834	0.0830	0.85
27	0.0814	0.0810	0.83
28	0.0792	0.0788	0.81
29	0.0767	0.0762	0.78
30	0.0738	0.0733	0.75
31	0.0706	0.0701	0.72
32	0.0672	0.0668	0.68
33	0.0636	0.0632	0.65
34	0.0598	0.0593	0.61
35	0.0558	0.0553	0.57
36	0.0518	0.0513	0.52
37	0.0475	0.0470	0.48
38	0.0433	0.0428	0.44
39	0.0392	0.0387	0.40
40	0.0353	0.0347	0.35
41	0.0315	0.0309	0.32
42	0.0280	0.0273	0.28
43	0.0248	0.0241	0.25
44	0.0221	0.0213	0.22
45	0.0198	0.0190	0.19
46	0.0180	0.0172	0.18
47	0.0166	0.0158	0.16
48	0.0158	0.0150	0.15
49	0.0155	0.0147	0.15
50	0.0157	0.0150	0.15
51	0.0165	0.0157	0.16
52	0.0178	0.0170	0.17
53	0.0195	0.0188	0.19
54	0.0217	0.0209	0.21
55	0.0243	0.0235	0.24
56	0.0272	0.0264	0.27
57	0.0303	0.0294	0.30
58	0.0339	0.0329	0.34
59	0.0375	0.0365	0.37
60	0.0414	0.0403	0.41
61	0.0451	0.0440	0.45
62	0.0491	0.0480	0.49
63	0.0530	0.0518	0.53
64	0.0570	0.0557	0.57
65	0.0608	0.0595	0.61
66	0.0647	0.0633	0.65
67	0.0680	0.0666	0.68
68	0.0716	0.0701	0.72
69	0.0745	0.0730	0.75
70	0.0781	0.0765	0.78
71	0.0807	0.0791	0.81
72	0.0839	0.0822	0.84
73	0.0860	0.0843	0.86
74	0.0889	0.0871	0.89
75	0.0907	0.0888	0.91
76	0.0930	0.0911	0.93
77	0.0947	0.0927	0.95
78	0.0965	0.0945	0.97
79	0.0979	0.0959	0.98
80	0.0996	0.0975	1.00
81	0.1006	0.0984	1.01
82	0.1020	0.0998	1.02
83	0.1028	0.1006	1.03
84	0.1038	0.1015	1.04
85	0.1048	0.1024	1.05
86	0.1054	0.1030	1.05
87	0.1061	0.1036	1.06
88	0.1068	0.1043	1.07
89	0.1074	0.1048	1.07
90	0.1078	0.1052	1.08
91	0.1083	0.1057	1.08
92	0.1088	0.1061	1.09
93	0.1090	0.1063	1.09
94	0.1094	0.1067	1.09
95	0.1098	0.1070	1.09
96	0.1100	0.1072	1.10
97	0.1098	0.1070	1.09
98	0.1107	0.1079	1.10
99	0.1102	0.1074	1.10
100	0.1103	0.1075	1.10
101	0.1110	0.1082	1.11
102	0.1103	0.1075	1.10
103	0.1108	0.1080	1.10
104	0.1108	0.1080	1.10
105	0.1101	0.1073	1.10
106	0.1111	0.1083	1.11
107	0.1109	0.1082	1.11
108	0.1097	0.1070	1.09
109	0.1111	0.1084	1.11
110	0.1104	0.1077	1.10
111	0.1101	0.1074	1.10
112	0.1102	0.1076	1.10
113	0.1105	0.1079	1.10
114	0.1094	0.1068	1.09
115	0.1100	0.1075	1.10
116	0.1096	0.1071	1.10
117	0.1098	0.1073	1.10
118	0.1093	0.1068	1.09
119	0.1091	0.1067	1.09
120	0.1087	0.1064	1.09
121	0.1093	0.1070	1.09
122	0.1085	0.1063	1.09
123	0.1084	0.1062	1.09
124	0.1084	0.1062	1.09
125	0.1082	0.1060	1.08
126	0.1077	0.1056	1.08
127	0.1079	0.1058	1.08
128	0.1072	0.1051	1.07
129	0.1074	0.1054	1.08
130	0.1074	0.1054	1.08
131	0.1064	0.1044	1.07
132	0.1066	0.1047	1.07
133	0.1062	0.1043	1.07
134	0.1062	0.1043	1.07
135	0.1058	0.1039	1.06
136	0.1056	0.1037	1.06
137	0.1055	0.1036	1.06
138	0.1050	0.1031	1.05
139	0.1054	0.1036	1.06
140	0.1049	0.1031	1.05
141	0.1042	0.1024	1.05
142	0.1044	0.1027	1.05
143	0.1042	0.1024	1.05
144	0.1036	0.1019	1.04
145	0.1039	0.1022	1.04
146	0.1031	0.1014	1.04
147	0.1034	0.1017	1.04
148	0.1030	0.1013	1.04
149	0.1026	0.1009	1.03
150	0.1024	0.1007	1.03
151	0.1021	0.1004	1.03
152	0.1024	0.1006	1.03
153	0.1018	0.1000	1.02
154	0.1012	0.0995	1.02
155	0.1019	0.1001	1.02
156	0.1009	0.0992	1.01
157	0.1015	0.0998	1.02
158	0.1004	0.0987	1.01
159	0.1009	0.0991	1.01
160	0.1002	0.0985	1.01
161	0.1004	0.0987	1.01
162	0.0999	0.0981	1.00
163	0.0992	0.0974	1.00
164	0.0998	0.0980	1.00
165	0.0995	0.0977	1.00
166	0.0997	0.0979	1.00
167	0.0991	0.0973	0.99
168	0.0991	0.0972	0.99
169	0.0982	0.0964	0.99
170	0.0986	0.0967	0.99
171	0.0979	0.0961	0.98
172	0.0983	0.0963	0.99
173	0.0978	0.0959	0.98
174	0.0980	0.0961	0.98
175	0.0973	0.0954	0.98
176	0.0981	0.0962	0.98
177	0.0972	0.0952	0.97
178	0.0976	0.0956	0.98
179	0.0967	0.0947	0.97
180	0.0969	0.0949	0.97
181	0.0968	0.0947	0.97
182	0.0964	0.0944	0.97
183	0.0970	0.0949	0.97
184	0.0963	0.0942	0.96
185	0.0965	0.0944	0.97
186	0.0959	0.0938	0.96
187	0.0963	0.0941	0.96
188	0.0959	0.0938	0.96
189	0.0959	0.0937	0.96
190	0.0957	0.0935	0.96
191	0.0954	0.0932	0.95
192	0.0955	0.0933	0.95
193	0.0954	0.0932	0.95
194	0.0961	0.0938	0.96
195	0.0951	0.0928	0.95
196	0.0956	0.0933	0.95
197	0.0959	0.0936	0.96
198	0.0955	0.0932	0.95
199	0.0958	0.0934	0.96
200	0.0950	0.0926	0.95
