#Epoch	RMSE	MAE	MAPE(%)
1	0.6786	0.5917	16.80
2	0.6623	0.5746	16.28
3	0.6006	0.4993	13.98
4	0.5671	0.4724	13.21
5	0.5990	0.5087	14.31
6	0.5383	0.4362	12.09
7	0.5473	0.4471	12.44
8	0.4852	0.3587	9.67
9	0.4502	0.3551	9.75
10	0.4617	0.3524	9.58
11	0.3489	0.2313	6.01
12	0.4462	0.2807	7.14
13	0.3913	0.2757	7.01
14	0.3740	0.2994	8.12
15	0.2960	0.1743	4.40
16	0.2666	0.1602	4.04
17	0.3082	0.2063	5.28
18	0.2553	0.1665	4.33
19	0.2546	0.1287	3.14
20	0.3349	0.2321	6.10
21	0.2641	0.1490	3.63
22	0.3043	0.1914	4.85
23	0.2680	0.1781	4.60
24	0.2655	0.1885	4.92
25	0.2831	0.1847	4.74
26	0.2374	0.1257	3.03
27	0.2711	0.1785	4.57
28	0.3077	0.1784	4.44
29	0.2914	0.1725	4.35
30	0.2395	0.1393	3.42
31	0.2749	0.1694	4.27
32	0.2849	0.1893	4.87
33	0.2569	0.1315	3.19
34	0.2303	0.1052	2.45
35	0.2067	0.1032	2.45
36	0.2530	0.1838	4.67
37	0.2830	0.2016	5.27
38	0.3004	0.1865	4.75
39	0.2853	0.1640	4.12
40	0.2532	0.1372	3.37
41	0.2829	0.1655	4.13
42	0.3040	0.2323	6.11
43	0.2625	0.1406	3.49
44	0.2836	0.2047	5.33
45	0.2775	0.1702	4.30
46	0.2660	0.1549	3.93
47	0.2407	0.1498	3.77
48	0.2822	0.1835	4.68
49	0.3057	0.1644	4.11
50	0.2596	0.1377	3.40
51	0.2802	0.2034	5.33
52	0.2455	0.1424	3.52
53	0.2512	0.1407	3.43
54	0.2599	0.1853	4.75
55	0.3053	0.1789	4.48
56	0.2714	0.1525	3.79
57	0.2765	0.1758	4.44
58	0.2589	0.1658	4.18
59	0.2661	0.1680	4.21
60	0.3009	0.2029	5.33
61	0.2694	0.1425	3.46
62	0.2542	0.1570	3.93
63	0.3023	0.2260	5.95
64	0.2694	0.1285	3.06
65	0.2431	0.1400	3.44
66	0.2822	0.1922	4.90
67	0.2952	0.2015	5.20
68	0.3137	0.1721	4.24
69	0.2482	0.1188	2.78
70	0.3061	0.2284	6.04
71	0.3275	0.2547	6.74
72	0.2561	0.1106	2.54
73	0.2546	0.1710	4.32
74	0.3039	0.2368	6.25
75	0.2625	0.1498	3.74
76	0.2874	0.2086	5.42
77	0.2912	0.2128	5.57
78	0.2668	0.1291	3.09
79	0.2619	0.1608	4.01
80	0.2521	0.1460	3.60
81	0.2773	0.1900	4.87
82	0.2608	0.1532	3.83
83	0.2642	0.1548	3.88
84	0.2653	0.1765	4.50
85	0.2755	0.1607	4.07
86	0.2467	0.1349	3.29
87	0.2682	0.1889	4.86
88	0.2793	0.1817	4.60
89	0.2713	0.1897	4.86
90	0.2856	0.1842	4.73
91	0.2716	0.1691	4.27
92	0.2816	0.2089	5.42
93	0.2610	0.1397	3.43
94	0.2538	0.1672	4.28
95	0.2748	0.1894	4.89
96	0.2782	0.1623	4.05
97	0.2467	0.1392	3.39
98	0.3351	0.2676	7.06
99	0.2523	0.1135	2.61
