#Epoch	RMSE	MAE	MAPE(%)
1	0.5568	0.4888	5.48
2	0.3621	0.2998	3.36
3	0.2949	0.2381	2.66
4	0.2991	0.2407	2.68
5	0.2945	0.2367	2.64
6	0.2829	0.2298	2.56
7	0.3035	0.2432	2.72
8	0.3438	0.2775	3.12
9	0.4190	0.3638	4.08
10	0.4777	0.4289	4.81
11	0.5138	0.4651	5.22
12	0.5153	0.4690	5.26
13	0.5205	0.4735	5.31
14	0.4472	0.3893	4.37
15	0.5373	0.4944	5.54
16	0.4934	0.4483	5.03
17	0.5204	0.4558	5.11
18	0.4620	0.4110	4.61
19	0.4441	0.3886	4.36
20	0.4764	0.4184	4.69
21	0.4402	0.3814	4.28
22	0.4143	0.3534	3.97
23	0.4549	0.3976	4.46
24	0.4774	0.4242	4.76
25	0.4387	0.3806	4.27
26	0.4552	0.3967	4.45
27	0.4303	0.3702	4.15
28	0.4525	0.3964	4.45
29	0.4490	0.3896	4.37
30	0.4512	0.3920	4.40
31	0.4634	0.4063	4.56
32	0.3897	0.3295	3.71
33	0.4238	0.3676	4.13
34	0.3684	0.3060	3.44
35	0.3980	0.3403	3.82
36	0.4033	0.3499	3.93
37	0.3440	0.2795	3.14
38	0.4475	0.3976	4.46
39	0.3807	0.3234	3.64
40	0.4027	0.3473	3.90
41	0.3928	0.3319	3.73
42	0.3677	0.3062	3.45
43	0.3859	0.3301	3.71
44	0.3760	0.3121	3.51
45	0.3533	0.2949	3.32
46	0.3545	0.2981	3.36
47	0.3429	0.2845	3.20
48	0.3562	0.2989	3.37
49	0.3270	0.2726	3.07
50	0.3403	0.2829	3.18
51	0.3161	0.2597	2.92
52	0.4373	0.3857	4.33
53	0.3765	0.3179	3.58
54	0.3664	0.3068	3.45
55	0.3404	0.2833	3.19
56	0.3640	0.3109	3.50
57	0.3512	0.2910	3.28
58	0.3290	0.2739	3.08
59	0.3858	0.3341	3.76
60	0.3108	0.2540	2.86
61	0.3604	0.3086	3.47
62	0.3225	0.2652	2.99
63	0.2942	0.2379	2.68
64	0.2682	0.2176	2.45
65	0.2618	0.2119	2.38
66	0.3519	0.2979	3.35
67	0.3030	0.2484	2.79
68	0.2886	0.2381	2.68
69	0.2661	0.2130	2.40
70	0.2558	0.2018	2.27
71	0.2275	0.1809	2.03
72	0.2712	0.2204	2.48
73	0.2702	0.2193	2.47
74	0.2299	0.1841	2.07
75	0.2452	0.1947	2.19
76	0.2442	0.1962	2.21
77	0.2683	0.2169	2.44
78	0.2690	0.2164	2.44
79	0.2606	0.2096	2.36
80	0.3268	0.2755	3.10
81	0.2531	0.2031	2.29
82	0.2649	0.2143	2.41
83	0.2421	0.1925	2.16
84	0.2645	0.2155	2.43
85	0.2209	0.1773	1.99
86	0.3695	0.3169	3.56
87	0.2536	0.2025	2.28
88	0.2541	0.2069	2.33
89	0.2993	0.2503	2.82
90	0.2811	0.2311	2.60
91	0.2410	0.1924	2.16
92	0.3716	0.3208	3.61
93	0.2573	0.2047	2.30
94	0.2453	0.1988	2.24
95	0.2628	0.2108	2.37
96	0.2488	0.2010	2.26
97	0.2262	0.1804	2.03
98	0.2850	0.2334	2.63
99	0.2546	0.2076	2.34
100	0.2434	0.1936	2.18
